company_name,member_type,address,registration,member_id,profile_url,source,scraped_date
AIRPLE CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4224,https://www.scal.com.sg/memberlisting-details/4224-airple-construction-pte-ltd,SCAL Member Directory,2026-01-14
AIRSSEN PTE. LTD.,SLOTS,"10 Tannery Lane, Singapore 347773",,7935,https://www.scal.com.sg/memberlisting-details/7935-airssen-pte-ltd,SCAL Member Directory,2026-01-14
AIS ENGINEERING & CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4329,https://www.scal.com.sg/memberlisting-details/4329-ais-engineering-construction-pte-ltd,SCAL Member Directory,2026-01-14
AJ JETTING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5663,https://www.scal.com.sg/memberlisting-details/5663-aj-jetting-pte-ltd,SCAL Member Directory,2026-01-14
AK IDESIGN & CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6793,https://www.scal.com.sg/memberlisting-details/6793-ak-idesign-construction-pte-ltd,SCAL Member Directory,2026-01-14
AKS ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6000,https://www.scal.com.sg/memberlisting-details/6000-aks-engineering-pte-ltd,SCAL Member Directory,2026-01-14
AL JABER HEAVY LIFT & TRANSPORT PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6679,https://www.scal.com.sg/memberlisting-details/6679-al-jaber-heavy-lift-transport-pte-ltd,SCAL Member Directory,2026-01-14
ALAN KOH TRADING COMPANY PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4707,https://www.scal.com.sg/memberlisting-details/4707-alan-koh-trading-company-pte-ltd,SCAL Member Directory,2026-01-14
ALBATROSS ELECTRICAL ENGINEERNG PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4332,https://www.scal.com.sg/memberlisting-details/4332-albatross-electrical-engineerng-pte-ltd,SCAL Member Directory,2026-01-14
ALBELOG INTERIOR DESIGN,SLOTS,"10 Tannery Lane, Singapore 347773",,4824,https://www.scal.com.sg/memberlisting-details/4824-albelog-interior-design,SCAL Member Directory,2026-01-14
ALFA INTERFLOW ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4333,https://www.scal.com.sg/memberlisting-details/4333-alfa-interflow-engineering-pte-ltd,SCAL Member Directory,2026-01-14
Alfa Tech VestAsia Pte Ltd,SLOTS,"10 Tannery Lane, Singapore 347773",,6953,https://www.scal.com.sg/memberlisting-details/6953-alfa-tech-vestasia-pte-ltd,SCAL Member Directory,2026-01-14
ALFON PLUMBING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,3045,https://www.scal.com.sg/memberlisting-details/3045-alfon-plumbing-pte-ltd,SCAL Member Directory,2026-01-14
ALIMAK GROUP SINGAPORE PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,61,https://www.scal.com.sg/memberlisting-details/61-alimak-group-singapore-pte-ltd,SCAL Member Directory,2026-01-14
A-LIVING HOME DÉCOR PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4338,https://www.scal.com.sg/memberlisting-details/4338-a-living-home-decor-pte-ltd,SCAL Member Directory,2026-01-14
ALL WATER SOLUTIONS PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4339,https://www.scal.com.sg/memberlisting-details/4339-all-water-solutions-pte-ltd,SCAL Member Directory,2026-01-14
ALL WORKS,SLOTS,"10 Tannery Lane, Singapore 347773",,4340,https://www.scal.com.sg/memberlisting-details/4340-all-works,SCAL Member Directory,2026-01-14
ALLBEST ENGINEERING & TRADING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4341,https://www.scal.com.sg/memberlisting-details/4341-allbest-engineering-trading-pte-ltd,SCAL Member Directory,2026-01-14
ALLIANCE CONCRETE SINGAPORE PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,62,https://www.scal.com.sg/memberlisting-details/62-alliance-concrete-singapore-pte-ltd,SCAL Member Directory,2026-01-14
ALLSTAR METAL & GLASS TECH. PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6282,https://www.scal.com.sg/memberlisting-details/6282-allstar-metal-glass-tech-pte-ltd,SCAL Member Directory,2026-01-14
ALMECH STEEL PRIVATE LIMITED,SLOTS,"10 Tannery Lane, Singapore 347773",,5441,https://www.scal.com.sg/memberlisting-details/5441-almech-steel-private-limited,SCAL Member Directory,2026-01-14
ALPHA & OMEGA ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4708,https://www.scal.com.sg/memberlisting-details/4708-alpha-omega-engineering-pte-ltd,SCAL Member Directory,2026-01-14
ALPHA PLUMBING & WATERPROOFING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6626,https://www.scal.com.sg/memberlisting-details/6626-alpha-plumbing-waterproofing-pte-ltd,SCAL Member Directory,2026-01-14
ALPHA VISION CONSTRUCTION & ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4343,https://www.scal.com.sg/memberlisting-details/4343-alpha-vision-construction-engineering-pte-ltd,SCAL Member Directory,2026-01-14
ALRIC MEP ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5753,https://www.scal.com.sg/memberlisting-details/5753-alric-mep-engineering-pte-ltd,SCAL Member Directory,2026-01-14
ALTO CONSTRUCT PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5215,https://www.scal.com.sg/memberlisting-details/5215-alto-construct-pte-ltd,SCAL Member Directory,2026-01-14
ALTUS FACILITIES ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5752,https://www.scal.com.sg/memberlisting-details/5752-altus-facilities-engineering-pte-ltd,SCAL Member Directory,2026-01-14
ALWOOD CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4344,https://www.scal.com.sg/memberlisting-details/4344-alwood-construction-pte-ltd,SCAL Member Directory,2026-01-14
AMPD ENERGY SINGAPORE PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5770,https://www.scal.com.sg/memberlisting-details/5770-ampd-energy-singapore-pte-ltd,SCAL Member Directory,2026-01-14
AMRICCO ENGINEERING & TRADING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7808,https://www.scal.com.sg/memberlisting-details/7808-amricco-engineering-trading-pte-ltd,SCAL Member Directory,2026-01-14
AMS ELECTRICAL ENGINEERING,SLOTS,"10 Tannery Lane, Singapore 347773",,5880,https://www.scal.com.sg/memberlisting-details/5880-ams-electrical-engineering,SCAL Member Directory,2026-01-14
AMSOON CONTROLS,SLOTS,"10 Tannery Lane, Singapore 347773",,4345,https://www.scal.com.sg/memberlisting-details/4345-amsoon-controls,SCAL Member Directory,2026-01-14
