company_name,member_id,profile_url,source,scraped_date
KA SHIN TECHNOLOGIES (S) PTE LTD,1395241,https://speta.org/membership-directory/corporate/1395241#page-member-ajax,SPETA Corporate Directory,2026-01-14
Kah Lam Hardware Engineering Pte Ltd,3020509,https://speta.org/membership-directory/corporate/3020509#page-member-ajax,SPETA Corporate Directory,2026-01-14
Kay Kay Plastic Industries Pte Ltd,1395242,https://speta.org/membership-directory/corporate/1395242#page-member-ajax,SPETA Corporate Directory,2026-01-14
KBG Contract Machining Pte Ltd,1395243,https://speta.org/membership-directory/corporate/1395243#page-member-ajax,SPETA Corporate Directory,2026-01-14
Kei & Wah Engineering Pte Ltd,1395244,https://speta.org/membership-directory/corporate/1395244#page-member-ajax,SPETA Corporate Directory,2026-01-14
Kemet Far East Pte Ltd,1395245,https://speta.org/membership-directory/corporate/1395245#page-member-ajax,SPETA Corporate Directory,2026-01-14
KEYSTONE CABLE (S) PTE LTD,1395247,https://speta.org/membership-directory/corporate/1395247#page-member-ajax,SPETA Corporate Directory,2026-01-14
Kim Ann Engineering Pte Ltd,1395249,https://speta.org/membership-directory/corporate/1395249#page-member-ajax,SPETA Corporate Directory,2026-01-14
Kinergy Corporation Ltd,1395250,https://speta.org/membership-directory/corporate/1395250#page-member-ajax,SPETA Corporate Directory,2026-01-14
KMS Industrial (1997) Pte Ltd,1676730,https://speta.org/membership-directory/corporate/1676730#page-member-ajax,SPETA Corporate Directory,2026-01-14
Knight Auto Precision Engineering Pte Ltd,1395251,https://speta.org/membership-directory/corporate/1395251#page-member-ajax,SPETA Corporate Directory,2026-01-14
Knust-SBD Pte Ltd,1395252,https://speta.org/membership-directory/corporate/1395252#page-member-ajax,SPETA Corporate Directory,2026-01-14
Kong Shiang Engineering Pte Ltd,2842401,https://speta.org/membership-directory/corporate/2842401#page-member-ajax,SPETA Corporate Directory,2026-01-14
Konica Minolta Business Solutions Asia,1395253,https://speta.org/membership-directory/corporate/1395253#page-member-ajax,SPETA Corporate Directory,2026-01-14
